,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
220,2012,1,"Boston, MA (Metropolitan Area)","Chicago, IL",867,3040,156.69,BOS,ORD
221,2012,2,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4670,175.88,BOS,ORD
222,2012,3,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4944,175.13,BOS,ORD
223,2012,4,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4158,186.19,BOS,ORD
224,2013,1,"Boston, MA (Metropolitan Area)","Chicago, IL",867,3030,168.48,BOS,ORD
225,2013,2,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4668,179.89,BOS,ORD
226,2013,3,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4846,183.67,BOS,ORD
227,2013,4,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4320,181.89,BOS,ORD
228,2011,1,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1154,325.74,BOS,DFW
229,2011,2,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1494,314.98,BOS,DFW
230,2011,3,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1569,297.3,BOS,DFW
231,2011,4,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1340,319.36,BOS,DFW
232,2012,1,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1103,356.81,BOS,DFW
233,2012,2,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1790,262.52,BOS,DFW
234,2012,3,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1891,231.68,BOS,DFW
235,2012,4,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1680,219.26,BOS,DFW
236,2013,1,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1413,229.88,BOS,DFW
237,2013,2,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1953,216.6,BOS,DFW
238,2013,3,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1979,218.91,BOS,DFW
239,2013,4,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,1708,230.82,BOS,DFW
240,2011,1,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1298,215.02,BOS,DEN
241,2011,2,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1651,228.17,BOS,DEN
242,2011,3,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1978,233.35,BOS,DEN
243,2011,4,"Boston, MA (Metropolitan Area)","Denver, CO",1754,1582,211.57,BOS,DEN
