,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
345,PHX,"Phoenix, AZ",JFK,"New York, NY",9760.76
346,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",2882.24
347,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",2971.01
348,PHX,"Phoenix, AZ",LGA,"New York, NY",252.0
349,PHX,"Phoenix, AZ",MCO,"Orlando, FL",7116.51
350,PHX,"Phoenix, AZ",MIA,"Miami, FL",6139.31
351,PHX,"Phoenix, AZ",MSP,"Minneapolis, MN",4395.33
352,PHX,"Phoenix, AZ",ORD,"Chicago, IL",8894.0
353,PHX,"Phoenix, AZ",PHL,"Philadelphia, PA",10420.94
354,PHX,"Phoenix, AZ",PHX,"Phoenix, AZ",36.5
355,PHX,"Phoenix, AZ",SEA,"Seattle, WA",6801.19
356,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",3469.02
357,SEA,"Seattle, WA",ATL,"Atlanta, GA",9783.18
358,SEA,"Seattle, WA",BOS,"Boston, MA",10417.04
359,SEA,"Seattle, WA",CLT,"Charlotte, NC",6886.62
360,SEA,"Seattle, WA",DEN,"Denver, CO",4593.22
361,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",10713.69
362,SEA,"Seattle, WA",DTW,"Detroit, MI",6018.23
363,SEA,"Seattle, WA",EWR,"Newark, NJ",10639.06
364,SEA,"Seattle, WA",IAH,"Houston, TX",10981.23
365,SEA,"Seattle, WA",JFK,"New York, NY",9856.81
366,SEA,"Seattle, WA",LAS,"Las Vegas, NV",8020.22
367,SEA,"Seattle, WA",LAX,"Los Angeles, CA",8050.82
368,SEA,"Seattle, WA",LGA,"New York, NY",314.5
369,SEA,"Seattle, WA",MCO,"Orlando, FL",11105.62
370,SEA,"Seattle, WA",MIA,"Miami, FL",9427.58
371,SEA,"Seattle, WA",MSP,"Minneapolis, MN",3976.57
372,SEA,"Seattle, WA",ORD,"Chicago, IL",10490.01
